Wandb initialized. Project: exploration-marl
[DEBUG] Initialized episode trackers for 1 environments
[DEBUG _on_step] timestep=172, rewards=[0.71623075], dones=[False]
[DEBUG] Env 0: reward=0.7162307500839233, accumulated=127.61791229248047, done=False
[DEBUG _on_step] timestep=173, rewards=[0.667547], dones=[False]
[DEBUG] Env 0: reward=0.6675469875335693, accumulated=128.28546142578125, done=False
[DEBUG _on_step] timestep=174, rewards=[0.61852264], dones=[False]
[DEBUG] Env 0: reward=0.6185226440429688, accumulated=128.90399169921875, done=False
[DEBUG _on_step] timestep=175, rewards=[0.667547], dones=[False]
[DEBUG] Env 0: reward=0.6675469875335693, accumulated=129.571533203125, done=False
[DEBUG _on_step] timestep=176, rewards=[0.6743852], dones=[False]
[DEBUG] Env 0: reward=0.6743851900100708, accumulated=130.2459259033203, done=False
[DEBUG _on_step] timestep=177, rewards=[0.624467], dones=[False]
[DEBUG] Env 0: reward=0.6244670152664185, accumulated=130.87039184570312, done=False
[DEBUG _on_step] timestep=178, rewards=[0.62380195], dones=[False]
[DEBUG] Env 0: reward=0.6238019466400146, accumulated=131.4941864013672, done=False
[DEBUG _on_step] timestep=179, rewards=[0.624467], dones=[False]
[DEBUG] Env 0: reward=0.6244670152664185, accumulated=132.11865234375, done=False
[DEBUG _on_step] timestep=180, rewards=[0.62380195], dones=[False]
[DEBUG] Env 0: reward=0.6238019466400146, accumulated=132.74244689941406, done=False
[DEBUG _on_step] timestep=181, rewards=[0.6736183], dones=[False]
